"Registration Number","Registration Date","Name","Business Name","Address 1","Address 2","City","State","Zip"
"7027","10/18/2021","Blue Crab Strategies LLC","","1415 Chapin St. NW"," #208","Washington","DC","20009"
"7023","10/06/2021","Horacio Francisco Medina Herrera","","2216 Adams Street"," #307","Hollywood","FL","33020"
"7020","09/30/2021","Tully Rinckey, PLLC","","2001 L Street, NW","Suite 902","Washington","DC"," 20036"
"7013","09/07/2021","DEACERO S.A.P.I. de C.V. (DEACERO)","","Lazaro Cardenas 2333, Zona Loma Larga Oriente","San Pedro Garza Garcia","San Pedro","",""
"7012","09/06/2021","Wissler, John Eric","","6310 Maryview Street ","","Alexandria","VA","22310"
"7007","09/01/2021","Carbon Thread Agency","","400 Trabert Avenue, NW","","Atlanta","GA","30309"
"7006","09/01/2021","Strom Public Affairs","","5500 Layne Estates Court","","Alexandria","VA","22310"
"7005","09/01/2021","Ice Miller Strategies LLC","","200 Massachusetts Avenue, NW ","Suite 400","Washington","DC","20001"
"7004","09/01/2021","Hoffman, Jane","","770 River Road","Unit 285","Edgewater","NJ","07020"
"7003","09/01/2021","Copithorne & Blakely Corporation","","438 - 11 Avenue SE, Suite 100","Calgary","Alberta","",""
"7002","08/30/2021","Delegation of German Industry and Commerce in Washington DC, LLC","","1130 Connecticut Avenue, NW ","#1200","Washington","DC","20036"
"6999","08/23/2021","Sing Tao US","","Sing Tao Newspapers New York Ltd.","188 Lafayette Street","New York","NY","10013"
"6998","08/21/2021","Sulaiman, Alkhadher Nasr","","228 67th Street","","Brooklyn","NY","11220"
"6997","08/20/2021","PDV Holding, Inc. (PDVH)","","1293 Eldridge Parkway","","Houston","TX","77077"
"6996","08/20/2021","CITGO Petroleum Corporation (CPC)","","1293 Eldridge Parkway","","Houston","TX","77077"
"6995","08/20/2021","CITGO Holding, Inc. (CITGOH)","","1293 Eldridge Parkway","","Houston","TX","77077"
"6993","08/18/2021","Shadowen, Steve Duane","","1135 W. 6th Street","Suite 125","Austin","TX","78703"
"6992","08/16/2021","Iraqi Nationalist Opposition Front (INOF)","","1415 Fort Riley Boulevard","","Manhattan","KS","66502"
"6988","08/09/2021","Thunderbolt Consulting, LLC","","8311 Buffalo Creek Drive","","Richmond","TX","77406"
"6987","08/05/2021","Ivkovic, Milos","","Postfach 0001","5700 Zell am See","Salzburg","",""
"6986","08/04/2021","Global Business Diplomacy LLC","","7302 Broxburn Court","","Bethesda","MD"," 20817"
"6983","08/03/2021","Ahmed, Summer","","2222 W. Grand River Avenue","Suite A","Okemos","MI","48864"
"6981","07/26/2021","Ahmed, Tanweer","","30 Blairs Way","","Tomball","TX","77375"
"6979","07/17/2021","Grenier Consulting LLC","","4615 28th Road S.","Unit C","Arlington","VA","22206"
"6978","07/12/2021","Law Offices of Barry J. Pollack, LLC","","1629 K Street, NW","Suite 300","Washington","DC","20005"
"6975","06/16/2021","Delahunt Group International LLC","","1147 Hancock Street","Suite 212","Quincy","MA","02169-4343"
"6974","06/11/2021","Garvey Strategies","","1695 Anne Court","","Annapolis","MD","21401"
"6973","06/10/2021","Heimberg, Steven Andrew","","800 West Sixth Street","Suite 1500","Los Angeles","CA","90017"
"6972","06/10/2021","Fenton/Arlook LLC","","7210 Blair Road, NW","","Washington","DC"," 20012"
"6971","06/09/2021","Gordon, Bradley James","","#1159, Factory Phnom Penh, National Road 2","","Phnom Penh","",""
"6968","06/02/2021","11:11 Incorporated D/B/A 11:11 Global Incorporated","11:11 Global Incorporated","1250 Half Street, SE","Suite 1020","Washington","DC","20003"
"6966","05/27/2021","Baker & Hostetler LLP","","1050 Connecticut Avenue, NW","Suite 1100","Washington","DC","20036"
"6965","05/26/2021","Novitas Communication Inc.","","1732 Wazee Street","Suite 201","Denver","CO","80202"
"6964","05/25/2021","Cleary Gottlieb Steen & Hamilton LLP","","One Liberty Plaza ","","New York","NY","10006"
"6962","05/17/2021","Ambessa Solutions LLC","","1707 Pleasantdale Road","Apartment 103","Vienna","VA","22180"
"6960","05/11/2021","McCollum, Jonathan","","201 Massachusetts Avenue, NE","Suite C-5","Washington","DC","20002"
"6958","05/05/2021","Xinhua News Agency North America","","1540 Broadway ","Floor 44","New York","NY","10036"
"6952","04/30/2021","ArentFox Schiff LLP","","1717 K Street, NW","","Washington","DC","20006"
"6950","04/28/2021","Abandelwa, Jacques","","1958 Broadway Street ","#5B","Iowa City","IA","52240"
"6949","04/18/2021","Davis Goldberg & Galper PLLC","","1120 20th Street, NW ","Suite 700 North","Washington","DC","20036"
"6947","04/12/2021","Welch, Ba-Shen","","1284 Mountain Lane","","Gardendale","AL","35071"
"6946","04/09/2021","Kyle Moyer & Company, LLC","","10925 N 78th Street","","Scottsdale","AZ","85260"
"6944","04/01/2021","Rubin Turnbull & Associates, Inc.","","401 E Las Olas Boulevard ","Suite 130-447","Ft. Lauderdale","FL"," 33301"
"6943","04/01/2021","Republica Havas, LLC","","200 Hudson Street","","New York","NY","10013"
"6941","03/22/2021","Moonlight International LLC","","600 New Hampshire Avenue, NW ","Suite 600 ","Washington ","DC","20036"
"6939","03/13/2021","Alexander Beckles, L.L.C.","","1605 - B Oldbury Drive","","Fort Washington","MD","20744"
"6937","03/12/2021","Patino & Associates, P.A.","","113 Almeria Avenue","","Coral Gables","FL","33134"
"6935","03/10/2021","BW GLOBAL GROUP, LLC.","","1239 Beverly Road","","McLean","VA","22101"
"6934","03/10/2021","Iranian Resurgent Party  I.R.P.","","6603 Independence Avenue","","Los Angeles","CA","91303"
"6932","03/03/2021","Diplomatic Trade Ltd.","","45 Rockefeller Plaza","Suite 2000","New York","NY","10111"
"6929","02/25/2021","Crowe, Robert Barry","","330 Cocoanut Row","Apt. 5C","Palm Beach","FL","33480"
"6927","02/23/2021","Cogent Strategies LLC","","2550 M Street, NW","2nd Floor","Washington","DC","20037"
"6922","02/03/2021","Ferox Strategies LLC","","300 New Jersey Avenue, NW "," Suite 1075","Washington","DC","20001"
"6920","01/30/2021","Marsh Law Firm PLLC","","31 Hudson Yards","11th Floor","New York","NY","10001"
"6919","01/26/2021","Empire Consulting Group, Inc.","","1717 K Street, NW","9th Floor","Washington","DC","20006"
"6918","01/26/2021","Horizon Client Access, Inc.","","110 Lafayette Street","Suite 603","New York","NY","10013"
"6916","01/25/2021","ADLAB, LLC","","3 WTC - 175 Greenwich Street ","31st Floor ","New York","NY","10007"
"6915","01/24/2021","Jackson, Robert Porter","","9723 Spring Ridge Lane","","Vienna","VA"," 22182-1451"
"6914","01/23/2021","Benitez Strategies","","1015 15th Street, NW ","","Washington","DC","20005"
"6912","01/21/2021","Kashmir Action Network, LLC","","1300 I Street, NW","Suite 400E","Washington","DC","20005"
"6911","01/20/2021","Chinar Consulting, LLC","","3636 16th Street, NW","Suite B260","Washington","DC"," 20010"
"6907","01/13/2021","Nurnberger & Associates, Inc.","","4870-F Old Dominion Drive","","Arlington","VA","22207"
"6905","01/08/2021","Vega Jr., Luis Angel","","1300 Pennsylvania Avenue, NW","Suite 700","Washington","DC","20004"
"6904","01/07/2021","Gaya United","","Bytowska Street 15"," Czarna Dabrowka","Pomeranian ","",""
"6902","12/30/2020","Behrend, Jane S.","","4850 Manget Court","","Dunwoody","GA","30338"
"6899","12/09/2020","Arena Strategy Group, LLC","","320 N Broadway","Suite 220","Green Bay","WI","54303"
"6898","12/09/2020","Latin America Advisory Group, LLC","","8395 SW 73rd Avenue","Apt. 106","Miami","FL","33143"
"6897","12/01/2020","Xin Min International, Inc.","","5250 Sereno Drive","","Temple City","CA","91780"
"6896","11/25/2020","Center for International Policy","","2000 M Street, NW","Suite 720","Washington","DC"," 20036"
"6892","11/19/2020","Gray Global Advisors, LLC","","300 New Jersey Avenue, NW","Suite 900","Washington","DC","20001"
"6889","11/13/2020","Off Hill Strategies LLC","","637 25th Street South","","Arlington","VA","22202"
"6887","11/09/2020","Access Partnership Corp.","","1730 Rhode Island Avenue NW","Suite 512","Washington","DC","20036"
"6882","10/25/2020","Rational PR, LLC d/b/a Rational 360","","1828 L Street, NW","Suite 640","Washington","DC","20036"
"6880","10/19/2020","Strategic Improvisation Inc.","","210 174th Street","APT 2109","Sunny Isles Beach","FL","33160"
"6878","10/14/2020","Wiggin and Dana LLP","","265 Church Street","One Century Tower","New Haven","CT","06510"
"6877","10/14/2020","Vision Americas LLC","","1150 K Street, NW","Suite 1411","Washington","DC","20005"
"6876","10/13/2020","Covington & Burling LLP","","850 10th Street","","Washington","DC","20001"
"6873","10/07/2020","OCP North America, Inc.","","1370 Sixth Avenue","32nd Floor","New York City","NY","10019"
"6870","09/28/2020","Idlbi, Qutaiba","","575 12th RD S","Apartment 1117","Arlington","VA","22202"
"6869","09/14/2020","Ghebi LLC","","1627 K Street, NW","Suite #1000","Washington","DC","20006"
"6868","09/10/2020","AZ Media PR Inc.","","333 Mamaroneck Avenue"," #438, BANYM Inc,","White Plains","NY","10605"
"6866","09/04/2020","Dozier, Daniel P.","","205 N Michigan Avenue","Suite 3750","Chicago","IL","60601"
"6864","09/01/2020","Alaaldin, Farhad",""," House 41 Street 21, District 923","alJadria","Baghdad","",""
"6861","08/27/2020","Overseas Friends of BJP-USA","","12310 Pinecrest Road","Suite 206","Reston","VA","20191"
"6858","08/21/2020","Crestview Strategy USA LLC","","1800 Massachusetts Avenue, NW","Second Floor","Washington","DC"," 20036"
"6857","08/18/2020","Praia Consultants LLC","","4301 50th Street, NW ","Suite 300  #2015","Washington","DC","20016"
"6850","06/09/2022","Harrigan, Patrick D.","","2686 NW 47th Terrace","","Gainesville","FL","32606"
"6846","08/04/2020","Greystone Global Strategies","","1300 I Street, NW","Suite 400 E","Washington","DC","20005"
"6844","07/15/2020","Blueprint Communications, LLC","","2111 Eisenhower Avenue","Suite 400","Alexandria","VA","22314"
"6842","06/29/2020","Saltzman & Evinch, PLLC","","1310 19th Street, NW ","","Washington","DC","20036"
"6840","06/22/2020","Ruder Finn, Inc.","","425 East 53rd Street","","New York","NY","10022"
"6839","07/30/2020","Kivvit, LLC","","222 W. Merchandise Mart Plaza","Suite 2400","Chicago","IL","60654"
"6837","06/16/2020","Xenophon Strategies, Inc.","","1120 G Street, NW","Suite 450","Washington","DC","20005"
"6831","05/28/2020","Harris, Wiltshire & Grannis LLP","","1919 M Street, NW","Suite 800","Washington","DC","20036"
"6830","05/28/2020","Fish & Richardson P.C.","","One Marina Park Drive","","Boston","MA","02210"
"6827","05/19/2020","Fragomen, Del Rey, Bernsen & Loewy, LLP","","1400 Broadway","","New York ","NY","10018"
"6826","05/20/2020","Brunswick Group LLC","","245 Park Avenue","14th Floor","New York","NY","10167"
"6825","05/19/2020","Carlos Abadi","","202 South Parker Street","Apt. 384","Tampa","FL","33606"
"6823","05/16/2020","Federacion De Alcades Pedaneo","","169 Chelsea Street","","East Boston","MA","02128"
"6822","05/08/2020","Proof Strategies Inc.","","1140 3rd Street, NE ","Suite #317","Washington","DC","20002"
"6821","05/08/2020","Baker & McKenzie","","452 5th Avenue","","New York","NY","10018"
"6818","04/27/2020","Blaze Partners, LLC","","106 Lafayette Street","Ste IB,","Yarmouth","ME","04096"
"6816","04/10/2020","Tiber Creek Group, Inc.","","750 9th Street NW","Suite 501","Washington","DC","20001"
"6815","04/10/2020","Patrick,Griffin","","750 9th Street NW","Suite 501","Washington","DC","20001"
"6814","04/09/2020","RF Binder Partners Inc.","","950 Third Avenue","7th Floor","New York","NY","10022"
"6809","03/31/2020","JJ&B, LLC","","700 Twelfth Str., NW","Suite 700","Washington","DC","20005"
"6807","03/26/2020","PTI USA","","1967 Rte. 27","Suite 15","Edison","NJ","08817"
"6806","03/24/2020","Terakeet LLC","","333 West Washington Street, Suite 500","","Syracuse","NY","13202"
"6804","03/20/2020","Bridge Builder Communications LLC","","2425 L Street, NW","#423 ","Washington","DC","20037"
"6801","03/18/2020","Certus Insights, LLC","","1418 N. Rhodes Street","","Arlington","VA","22209"
"6800","03/16/2020","Hmong Kingdom ChaoFa State - US Representatives","","P.O. Box 6209","","Fresno","CA","93703"
"6798","03/05/2020","Somaliland Mission USA, LLC","","6019 Tower Court","","Alexandria","VA","22304"
"6797","03/04/2020","Ogilvy Group LLC","","636 11th Avenue","","New York","NY","10036"
"6796","02/26/2020","Broydrick and Associates, Inc.","","101 Constitution Avenue, NW ","Suite 825 East","Washington","DC","20001"
"6795","02/24/2020","Linklaters LLP","","One Silk Street","","London","",""
"6790","02/06/2020","Williams Group","","302 3rd Street, SE","","Washington","DC","20003"
"6789","01/31/2020","Stellar Jay Communications","","8453 Cliffridge Avenue","","La Jolla","CA","92037"
"6786","01/23/2020","Cogent Law Group LLP","","1875 K Street, NW","4th Floor","Washington","DC","20006"
"6785","01/22/2020","Peregrine Communications Inc.","","405 Lexington Avenue","9th Floor","New York","NY","10174"
"6784","01/17/2020","Watkins & Eager, PLLC","","400 East Capitol Street","","Jackson","MS","39201"
"6780","03/12/2020","Turkish Radio Television Corporation","","1275 Pennsylvania Avenue, NW","Suite 320","Washington","DC","20004"
"6775","12/26/2019","Melnik, Steven V.","","One Rockefeller Plaza","10th Floor","New York","NY","10020"
"6771","12/17/2019","Waltham PLLC","","2550 M Street, NW","","Washington","DC","20037"
"6768","12/12/2019","RJI Capital Corporation","","1001 19th Street N","Suite 2000","Arlington","VA","22209"
"6752","11/20/2019","Halcyon Associates","","Dashwood House,","69 Old Broad Street","London","",""
"6751","11/19/2019","Untermeyer, Charles Graves","","10000 Memorial Drive","Suite 920","Houston","TX","77024"
"6750","11/14/2019","Mac, Andrew","","1717 K Street, NW","Suite 900","Washington","DC","20006"
"6749","11/12/2019","Larson Shannahan Slifka Group, LLC","LS2group","510 E. Locust Street","Suite 200","Des Moines","IA","50309"
"6747","11/07/2019","Global Strategic Advisory Group, LLC","","316 Southern Boulevard","","West Palm Beach","FL","33405"
"6743","10/25/2019","Paul Hastings LLP","","875 15th Street, NW","","Washington","DC","20005"
"6742","10/25/2019","Schulman Bhattacharya LLC","","7500 Old Georgetown Road, Suite 901","","Bethesda","MD","20814"
"6741","10/09/2019","Miller, Carman Marc","","130 Minto Place","","Ottawa","",""
"6731","10/02/2019","ANC-Global, Inc.","","3545 Broad Street","#81842","Atlanta","GA","30366"
"6727","09/26/2019","Mukasey, Michael B.","","919 Third Avenue","","New York","NY","10022"
"6724","09/18/2019","Hausfeld LLP","","888 16th Street, NW","Suite 300","Washington","DC","20006"
