docname,from,to,pre,keyword,post,pattern
Speech_by_President_Xi_Jinping_at_a_Ceremony_Marki.csv.9,40,40,"japanese imperialist aggressors , overthrew the reactionary rule of the kuomintang , completed the new",democratic,"revolution , and established the people's republic of china . this contribution was significant because",democr*
Speech_by_President_Xi_Jinping_at_a_Ceremony_Marki.csv.9,135,135,a leap forward whereby china transformed itself from a millennia-old feudal autocracy to a people's,democracy,.,democr*
Speech_by_President_Xi_Jinping_at_a_Ceremony_Marki.csv.46,71,71,"goal : establishing china as a modern socialist country that is prosperous , strong ,",democratic,", culturally advanced , and harmonious by the time the people's republic of china marks",democr*
Speech_by_President_Xi_Jinping_at_a_Ceremony_Marki.csv.47,160,160,"the basis of promoting economic development , we must develop a socialist market economy ,",democracy,", advanced culture , environmental culture , and harmonious society , and advance a coordinated",democr*
Speech_by_President_Xi_Jinping_at_a_Ceremony_Marki.csv.60,90,90,"autonomy , and the system of community-level self-governance ; and we must develop socialist consultative",democracy,; consolidate and expand the broadest possible patriotic united front ; widen the orderly participation,democr*
Speech_by_President_Xi_Jinping_at_a_Ceremony_Marki.csv.82,175,175,"support hong kong and macao in developing their economies , improving public wellbeing , advancing",democracy,", and promoting harmony .",democr*
Statement_by_Xi_Jinping_at_the_General_Debate_of_t.csv.26,49,49,"join hands to uphold the values of peace , development , equity , justice ,",democracy,and freedom shared by all of us and build a new type of international relations,democr*
Staying_True_to_Our_Founding_Mission_and_Forging_A.csv.10,32,32,"shanghai spirit , keep to the right direction , follow the historical trends of promoting",democracy,"in international relations , and pursue our own development as we pursue common development for",democr*
Strengthen_the_Party_s_Leadership_in_the_Comprehen.csv.10,29,29,", the people's yearning for a better life has extended further in the directions of",democracy,", the rule of law , fairness , justice , security , and the environment",democr*
Strengthen_the_Party_s_Leadership_in_the_Comprehen.csv.22,224,224,"and laws to govern the country and improve the party's level of scientific governance ,",democratic,"governance , and governance according to law .",democr*
Strengthening_Cooperation_Among_Political_Parties_.csv.11,56,56,"to the common values of humanity for peace , development , equity , justice ,",democracy,and freedom . with a strong sense of responsibility for the future of all mankind,democr*
Strengthening_Cooperation_Among_Political_Parties_.csv.14,60,60,"this , in itself , is what wellbeing entails . in the same vein ,",democracy,"is the right of all peoples , rather than an exclusive privilege of the few",democr*
Strengthening_Cooperation_Among_Political_Parties_.csv.14,85,85,an exclusive privilege of the few . there are multiple ways and means to realize,democracy,", instead of a single stereotype . the judgment on whether a country is democratic",democr*
Strengthening_Cooperation_Among_Political_Parties_.csv.14,100,100,"democracy , instead of a single stereotype . the judgment on whether a country is",democratic,"or not should be made by their people , not by the handful of others",democr*
Strengthening_Cooperation_Among_Political_Parties_.csv.14,120,120,"made by their people , not by the handful of others . to advance political",democracy,"in a way that suits the national conditions of a country , we need to",democr*
Summary_of_the_Party_s_Historical_Experience_to_St.csv.9,131,131,"regarding speaking the truth and practicing what we preach , regarding the promotion of intra-party",democracy,"and correct handling of different opinions , regarding protecting the rights of party members from",democr*
Summary_of_the_Party_s_Historical_Experience_to_St.csv.13,8,8,( speech at the eighteenth ccp politburo,democratic,"life meeting on december 26 and 27 , 2016 )",democr*
Summary_of_the_Party_s_Historical_Experience_to_St.csv.38,8,8,( speech at the nineteenth ccp politburo,democratic,"life meeting on december 24 and 25 , 2020 )",democr*
Summary_of_the_Party_s_Historical_Experience_to_St.csv.41,8,8,( speech at the nineteenth ccp politburo,democratic,"life meeting on december 24 and 25 , 2020 )",democr*
Summary_of_the_Party_s_Historical_Experience_to_St.csv.44,8,8,( speech at the nineteenth ccp politburo,democratic,"life meeting on december 24 and 25 , 2020 )",democr*
Talk_Given_at_the_Party_History_Learning_and_Educa.csv.7,66,66,our party nearly 30 years of uniting and leading the people to complete the new,democratic,"revolution . it establish the new china , and the chinese people thereupon stood up",democr*
Talk_Given_at_the_Party_History_Learning_and_Educa.csv.11,35,35,a millennia-old history of feudal society to the realization of the broadest kind of people's,democracy,". the people truly have become masters of their country , their society , and",democr*
Talk_Given_at_the_Party_History_Learning_and_Educa.csv.28,163,163,victory over enemies . this played an important role in the victory of the new,democratic,"revolution , and it continues to play an important role to this day . when",democr*
Talk_Given_at_the_Party_History_Learning_and_Educa.csv.41,127,127,"forms . we should take control of special-topic learning , special-topic party classes , special-topic",democratic,"life meetings , and special-topic training . let us carefully organize propaganda teams to launch",democr*
Xi_Jinping_Discusses_Leadership.csv.10,8,8,"second , we must adhere to the",democratic,nature of decision-making . the essence of socialist leadership is to seek the interests of,democr*
Xi_Jinping_Discusses_Leadership.csv.10,66,66,the masses as the fundamental ideology of decision-making . this requires us to implement broad,democracy,"in decision-making , to adhere to the ideological line of coming from the masses and",democr*
