,Date.Stamped,Registrant.Name,Registration.Number,Document.Type,Short.Form.Name,Foreign.Principal.Name,Foreign.Principal.Country,Url
16,4/26/2022,"EDI Media, Inc.",7086,Exhibit AB, ,"XinMin International, Inc.",CHINA,https://efile.fara.gov/docs/7086-Exhibit-AB-20220426-2.pdf
17,4/26/2022,"EDI Media, Inc.",7086,Amendment, , , ,https://efile.fara.gov/docs/7086-Amendment-20220426-4.pdf
18,4/26/2022,"EDI Media, Inc.",7086,Amendment, , , ,https://efile.fara.gov/docs/7086-Amendment-20220426-1.pdf
19,3/2/2022,"EDI Media, Inc.",7086,Registration Statement, , , ,https://efile.fara.gov/docs/7086-Registration-Statement-20220302-1.pdf
20,3/2/2022,"EDI Media, Inc.",7086,Exhibit C, , , ,https://efile.fara.gov/docs/7086-Exhibit-C-20220302-1.pdf
21,3/2/2022,"EDI Media, Inc.",7086,Short-Form,"Li, Yinan", , ,https://efile.fara.gov/docs/7086-Short-Form-20220302-2.pdf
22,3/2/2022,"EDI Media, Inc.",7086,Exhibit AB, ,"XinMin International, Inc.",CHINA,https://efile.fara.gov/docs/7086-Exhibit-AB-20220302-1.pdf
23,7/3/2022,Koenig Communications LLC,7068,Amendment, , , ,https://efile.fara.gov/docs/7068-Amendment-20220703-1.pdf
24,7/3/2022,Koenig Communications LLC,7068,Supplemental Statement, , , ,https://efile.fara.gov/docs/7068-Supplemental-Statement-20220703-1.pdf
25,2/18/2022,Koenig Communications LLC,7068,Informational Materials, ,AutoFlightX International Ltd.,CHINA,https://efile.fara.gov/docs/7068-Informational-Materials-20220218-5.pdf
26,1/18/2022,Koenig Communications LLC,7068,Informational Materials, ,AutoFlightX International Ltd.,CHINA,https://efile.fara.gov/docs/7068-Informational-Materials-20220118-2.pdf
27,1/18/2022,Koenig Communications LLC,7068,Informational Materials, ,AutoFlightX International Ltd.,CHINA,https://efile.fara.gov/docs/7068-Informational-Materials-20220118-1.pdf
28,1/18/2022,Koenig Communications LLC,7068,Informational Materials, ,AutoFlightX International Ltd.,CHINA,https://efile.fara.gov/docs/7068-Informational-Materials-20220118-3.pdf
29,1/18/2022,Koenig Communications LLC,7068,Informational Materials, ,AutoFlightX International Ltd.,CHINA,https://efile.fara.gov/docs/7068-Informational-Materials-20220118-4.pdf
30,1/11/2022,Koenig Communications LLC,7068,Exhibit AB, ,AutoFlightX International Ltd.,CHINA,https://efile.fara.gov/docs/7068-Exhibit-AB-20220111-1.pdf
31,1/11/2022,Koenig Communications LLC,7068,Registration Statement, , , ,https://efile.fara.gov/docs/7068-Registration-Statement-20220111-1.pdf
32,1/11/2022,Koenig Communications LLC,7068,Short-Form,"Koenig, Christian", , ,https://efile.fara.gov/docs/7068-Short-Form-20220111-2.pdf
33,1/11/2022,Koenig Communications LLC,7068,Exhibit C, , , ,https://efile.fara.gov/docs/7068-Exhibit-C-20220111-1.pdf
34,3/8/2022,"Potomac Radio Group, Inc.",7059,Amendment, , , ,https://efile.fara.gov/docs/7059-Amendment-20220308-1.pdf
35,1/13/2022,"Potomac Radio Group, Inc.",7059,Supplemental Statement, , , ,https://efile.fara.gov/docs/7059-Supplemental-Statement-20220113-1.pdf
36,12/16/2021,"Potomac Radio Group, Inc.",7059,Short-Form,"Masden, Danny R.", , ,https://efile.fara.gov/docs/7059-Short-Form-20211216-2.pdf
37,12/16/2021,"Potomac Radio Group, Inc.",7059,Registration Statement, , , ,https://efile.fara.gov/docs/7059-Registration-Statement-20211216-1.pdf
38,12/16/2021,"Potomac Radio Group, Inc.",7059,Exhibit AB, ,China Global Television Network (CGTN),CHINA,https://efile.fara.gov/docs/7059-Exhibit-AB-20211216-2.pdf
39,12/16/2021,"Potomac Radio Group, Inc.",7059,Exhibit C, , , ,https://efile.fara.gov/docs/7059-Exhibit-C-20211216-1.pdf
40,4/4/2022,Vippi Media Inc.,7057,Supplemental Statement, , , ,https://efile.fara.gov/docs/7057-Supplemental-Statement-20220404-1.pdf
41,3/4/2022,Vippi Media Inc.,7057,Amendment, , , ,https://efile.fara.gov/docs/7057-Amendment-20220304-1.pdf
42,12/10/2021,Vippi Media Inc.,7057,Short-Form,"Jaswal, Vipinder S.", , ,https://efile.fara.gov/docs/7057-Short-Form-20211210-2.pdf
43,12/10/2021,Vippi Media Inc.,7057,Registration Statement, , , ,https://efile.fara.gov/docs/7057-Registration-Statement-20211210-1.pdf
44,12/10/2021,Vippi Media Inc.,7057,Exhibit AB, ,Consulate General of the People's Republic of China in New York,CHINA,https://efile.fara.gov/docs/7057-Exhibit-AB-20211210-1.pdf
45,12/10/2021,Vippi Media Inc.,7057,Exhibit C, , , ,https://efile.fara.gov/docs/7057-Exhibit-C-20211210-1.pdf
46,8/9/2021,"Thunderbolt Consulting, LLC",6988,Exhibit AB, ,Qingdao Masters of Rubber & Plastic Co. LTD,CHINA,https://efile.fara.gov/docs/6988-Exhibit-AB-20210809-1.pdf
47,8/9/2021,"Thunderbolt Consulting, LLC",6988,Short-Form,"Snow, Gary D.", , ,https://efile.fara.gov/docs/6988-Short-Form-20210809-2.pdf
48,8/9/2021,"Thunderbolt Consulting, LLC",6988,Registration Statement, , , ,https://efile.fara.gov/docs/6988-Registration-Statement-20210809-1.pdf
49,8/9/2021,"Thunderbolt Consulting, LLC",6988,Exhibit C, , , ,https://efile.fara.gov/docs/6988-Exhibit-C-20210809-2.pdf
50,11/17/2022,"McCollum, Jonathan",6960,Supplemental Statement,NA, , ,https://efile.fara.gov/docs/6960-Supplemental-Statement-20221117-3.pdf
51,6/13/2022,"McCollum, Jonathan",6960,Supplemental Statement,NA, , ,https://efile.fara.gov/docs/6960-Supplemental-Statement-20220613-2.pdf
52,12/7/2021,"McCollum, Jonathan",6960,Supplemental Statement,NA, , ,https://efile.fara.gov/docs/6960-Supplemental-Statement-20211207-1.pdf
53,5/11/2021,"McCollum, Jonathan",6960,Exhibit AB,NA,UNIPEC America Inc.,CHINA,https://efile.fara.gov/docs/6960-Exhibit-AB-20210511-1.pdf
54,5/11/2021,"McCollum, Jonathan",6960,Registration Statement,NA, , ,https://efile.fara.gov/docs/6960-Registration-Statement-20210511-1.pdf
55,7/1/2022,Xinhua News Agency North America,6958,Supplemental Statement, , , ,https://efile.fara.gov/docs/6958-Supplemental-Statement-20220701-2.pdf
56,12/29/2021,Xinhua News Agency North America,6958,Supplemental Statement, , , ,https://efile.fara.gov/docs/6958-Supplemental-Statement-20211229-1.pdf
57,10/14/2021,Xinhua News Agency North America,6958,Amendment, , , ,https://efile.fara.gov/docs/6958-Amendment-20211014-1.pdf
58,5/11/2021,Xinhua News Agency North America,6958,Exhibit C, , , ,https://efile.fara.gov/docs/6958-Exhibit-C-20210511-1.pdf
59,5/5/2021,Xinhua News Agency North America,6958,Short-Form,"Xingtang, Xu", , ,https://efile.fara.gov/docs/6958-Short-Form-20210505-6.pdf
60,5/5/2021,Xinhua News Agency North America,6958,Short-Form,"Siyi, Ni", , ,https://efile.fara.gov/docs/6958-Short-Form-20210505-2.pdf
61,5/5/2021,Xinhua News Agency North America,6958,Short-Form,"Lin, Xia", , ,https://efile.fara.gov/docs/6958-Short-Form-20210505-8.pdf
62,5/5/2021,Xinhua News Agency North America,6958,Registration Statement, , , ,https://efile.fara.gov/docs/6958-Registration-Statement-20210505-1.pdf
63,5/5/2021,Xinhua News Agency North America,6958,Exhibit AB, ,Xinhua News Agency,CHINA,https://efile.fara.gov/docs/6958-Exhibit-AB-20210505-1.pdf
64,5/5/2021,Xinhua News Agency North America,6958,Short-Form,"Liang, Yan", , ,https://efile.fara.gov/docs/6958-Short-Form-20210505-4.pdf
65,1/25/2021,"ADLAB, LLC",6916,Exhibit AB, ,"Huawei Technologies USA, Inc.",CHINA,https://efile.fara.gov/docs/6916-Exhibit-AB-20210125-1.pdf
66,1/25/2021,"ADLAB, LLC",6916,Exhibit C, , , ,https://efile.fara.gov/docs/6916-Exhibit-C-20210125-1.pdf
67,1/25/2021,"ADLAB, LLC",6916,Short-Form,"Lawhead, Nicholas Anthony", , ,https://efile.fara.gov/docs/6916-Short-Form-20210125-2.pdf
68,1/25/2021,"ADLAB, LLC",6916,Short-Form,"Breach, Brian McLane", , ,https://efile.fara.gov/docs/6916-Short-Form-20210125-4.pdf
69,1/25/2021,"ADLAB, LLC",6916,Registration Statement, , , ,https://efile.fara.gov/docs/6916-Registration-Statement-20210125-1.pdf
70,8/2/2022,"Xin Min International, Inc.",6897,Supplemental Statement, , , ,https://efile.fara.gov/docs/6897-Supplemental-Statement-20220802-3.pdf
71,8/2/2022,"Xin Min International, Inc.",6897,Short-Form,"Ma, Xiaohung", , ,https://efile.fara.gov/docs/6897-Short-Form-20220802-8.pdf
72,7/29/2022,"Xin Min International, Inc.",6897,Supplemental Statement, , , ,https://efile.fara.gov/docs/6897-Supplemental-Statement-20220729-2.pdf
73,8/24/2021,"Xin Min International, Inc.",6897,Supplemental Statement, , , ,https://efile.fara.gov/docs/6897-Supplemental-Statement-20210824-1.pdf
74,12/1/2020,"Xin Min International, Inc.",6897,Short-Form,"Zhu, Guoshun", , ,https://efile.fara.gov/docs/6897-Short-Form-20201201-4.pdf
75,12/1/2020,"Xin Min International, Inc.",6897,Short-Form,"Yang, Jing", , ,https://efile.fara.gov/docs/6897-Short-Form-20201201-2.pdf
76,12/1/2020,"Xin Min International, Inc.",6897,Registration Statement, , , ,https://efile.fara.gov/docs/6897-Registration-Statement-20201201-1.pdf
77,12/1/2020,"Xin Min International, Inc.",6897,Exhibit C, , , ,https://efile.fara.gov/docs/6897-Exhibit-C-20201201-1.pdf
78,12/1/2020,"Xin Min International, Inc.",6897,Exhibit AB, ,Guoshun Zhu,CHINA,https://efile.fara.gov/docs/6897-Exhibit-AB-20201201-1.pdf
79,12/1/2020,"Xin Min International, Inc.",6897,Short-Form,"Su, Ting", , ,https://efile.fara.gov/docs/6897-Short-Form-20201201-6.pdf
80,12/14/2022,"Blueprint Communications, LLC",6844,Amendment, , , ,https://efile.fara.gov/docs/6844-Amendment-20221214-5.pdf
81,12/14/2022,"Blueprint Communications, LLC",6844,Amendment, , , ,https://efile.fara.gov/docs/6844-Amendment-20221214-6.pdf
82,8/30/2022,"Blueprint Communications, LLC",6844,Supplemental Statement, , , ,https://efile.fara.gov/docs/6844-Supplemental-Statement-20220830-4.pdf
83,4/6/2022,"Blueprint Communications, LLC",6844,Amendment, , , ,https://efile.fara.gov/docs/6844-Amendment-20220406-4.pdf
84,4/6/2022,"Blueprint Communications, LLC",6844,Exhibit AB, ,"Exor Investment Corporate De El Salvador, S.A. De C.V., through a subcontract with Brownstein Hyatt Farber Schreck",EL SALVADOR,https://efile.fara.gov/docs/6844-Exhibit-AB-20220406-3.pdf
85,4/6/2022,"Blueprint Communications, LLC",6844,Short-Form,"Kolton, Chad M", , ,https://efile.fara.gov/docs/6844-Short-Form-20220406-8.pdf
86,2/25/2022,"Blueprint Communications, LLC",6844,Supplemental Statement, , , ,https://efile.fara.gov/docs/6844-Supplemental-Statement-20220225-3.pdf
87,8/31/2021,"Blueprint Communications, LLC",6844,Amendment, , , ,https://efile.fara.gov/docs/6844-Amendment-20210831-3.pdf
88,8/31/2021,"Blueprint Communications, LLC",6844,Supplemental Statement, , , ,https://efile.fara.gov/docs/6844-Supplemental-Statement-20210831-2.pdf
89,6/17/2021,"Blueprint Communications, LLC",6844,Exhibit AB, ,"Papadimitriu, Demetrio",PANAMA,https://efile.fara.gov/docs/6844-Exhibit-AB-20210617-2.pdf
90,6/17/2021,"Blueprint Communications, LLC",6844,Amendment, , , ,https://efile.fara.gov/docs/6844-Amendment-20210617-2.pdf
91,6/17/2021,"Blueprint Communications, LLC",6844,Short-Form,"Kolton, Chad M", , ,https://efile.fara.gov/docs/6844-Short-Form-20210617-6.pdf
92,2/23/2021,"Blueprint Communications, LLC",6844,Supplemental Statement, , , ,https://efile.fara.gov/docs/6844-Supplemental-Statement-20210223-1.pdf
93,7/23/2020,"Blueprint Communications, LLC",6844,Amendment, , , ,https://efile.fara.gov/docs/6844-Amendment-20200723-1.pdf
94,7/15/2020,"Blueprint Communications, LLC",6844,Registration Statement, , , ,https://efile.fara.gov/docs/6844-Registration-Statement-20200715-1.pdf
95,7/15/2020,"Blueprint Communications, LLC",6844,Short-Form,"Morrell, James M", , ,https://efile.fara.gov/docs/6844-Short-Form-20200715-4.pdf
96,7/15/2020,"Blueprint Communications, LLC",6844,Exhibit AB, ,Fujian Jinhua Integrated Circuit Co Ltd,CHINA,https://efile.fara.gov/docs/6844-Exhibit-AB-20200715-1.pdf
97,7/15/2020,"Blueprint Communications, LLC",6844,Short-Form,"Kolton, Chad M", , ,https://efile.fara.gov/docs/6844-Short-Form-20200715-2.pdf
98,11/11/2022,"Ruder Finn, Inc.",6840,Short-Form,"Gusain, Tripti", , ,https://efile.fara.gov/docs/6840-Short-Form-20221111-102.pdf
99,10/21/2022,"Ruder Finn, Inc.",6840,Short-Form,"Berry, Haven", , ,https://efile.fara.gov/docs/6840-Short-Form-20221021-100.pdf
100,9/21/2022,"Ruder Finn, Inc.",6840,Short-Form,"Shulak, Delayna", , ,https://efile.fara.gov/docs/6840-Short-Form-20220921-98.pdf
101,9/21/2022,"Ruder Finn, Inc.",6840,Short-Form,"Harb, Krystel", , ,https://efile.fara.gov/docs/6840-Short-Form-20220921-96.pdf
102,7/28/2022,"Ruder Finn, Inc.",6840,Supplemental Statement, , , ,https://efile.fara.gov/docs/6840-Supplemental-Statement-20220728-4.pdf
103,7/25/2022,"Ruder Finn, Inc.",6840,Short-Form,"Yacavone, Kyra", , ,https://efile.fara.gov/docs/6840-Short-Form-20220725-94.pdf
104,7/11/2022,"Ruder Finn, Inc.",6840,Short-Form,"Mautz, Hannah", , ,https://efile.fara.gov/docs/6840-Short-Form-20220711-92.pdf
105,4/6/2022,"Ruder Finn, Inc.",6840,Short-Form,"Enkhbaatar, Odsuren", , ,https://efile.fara.gov/docs/6840-Short-Form-20220406-90.pdf
106,3/3/2022,"Ruder Finn, Inc.",6840,Short-Form,"Ford, Chase Aaron", , ,https://efile.fara.gov/docs/6840-Short-Form-20220303-88.pdf
107,1/30/2022,"Ruder Finn, Inc.",6840,Short-Form,"Caamano, Antonia", , ,https://efile.fara.gov/docs/6840-Short-Form-20220130-86.pdf
108,1/27/2022,"Ruder Finn, Inc.",6840,Supplemental Statement, , , ,https://efile.fara.gov/docs/6840-Supplemental-Statement-20220127-3.pdf
109,12/15/2021,"Ruder Finn, Inc.",6840,Amendment, , , ,https://efile.fara.gov/docs/6840-Amendment-20211215-25.pdf
110,12/15/2021,"Ruder Finn, Inc.",6840,Amendment, , , ,https://efile.fara.gov/docs/6840-Amendment-20211215-24.pdf
111,12/15/2021,"Ruder Finn, Inc.",6840,Amendment, , , ,https://efile.fara.gov/docs/6840-Amendment-20211215-23.pdf
112,12/3/2021,"Ruder Finn, Inc.",6840,Amendment, , , ,https://efile.fara.gov/docs/6840-Amendment-20211203-22.pdf
113,11/30/2021,"Ruder Finn, Inc.",6840,Amendment, , , ,https://efile.fara.gov/docs/6840-Amendment-20211130-8.pdf
114,11/30/2021,"Ruder Finn, Inc.",6840,Amendment, , , ,https://efile.fara.gov/docs/6840-Amendment-20211130-9.pdf
115,11/30/2021,"Ruder Finn, Inc.",6840,Amendment, , , ,https://efile.fara.gov/docs/6840-Amendment-20211130-7.pdf
116,11/30/2021,"Ruder Finn, Inc.",6840,Amendment, , , ,https://efile.fara.gov/docs/6840-Amendment-20211130-6.pdf
117,11/30/2021,"Ruder Finn, Inc.",6840,Amendment, , , ,https://efile.fara.gov/docs/6840-Amendment-20211130-20.pdf
118,11/30/2021,"Ruder Finn, Inc.",6840,Amendment, , , ,https://efile.fara.gov/docs/6840-Amendment-20211130-21.pdf
119,11/30/2021,"Ruder Finn, Inc.",6840,Amendment, , , ,https://efile.fara.gov/docs/6840-Amendment-20211130-5.pdf
120,11/30/2021,"Ruder Finn, Inc.",6840,Amendment, , , ,https://efile.fara.gov/docs/6840-Amendment-20211130-10.pdf
121,11/30/2021,"Ruder Finn, Inc.",6840,Amendment, , , ,https://efile.fara.gov/docs/6840-Amendment-20211130-11.pdf
122,11/30/2021,"Ruder Finn, Inc.",6840,Amendment, , , ,https://efile.fara.gov/docs/6840-Amendment-20211130-12.pdf
123,11/30/2021,"Ruder Finn, Inc.",6840,Amendment, , , ,https://efile.fara.gov/docs/6840-Amendment-20211130-13.pdf
124,11/30/2021,"Ruder Finn, Inc.",6840,Amendment, , , ,https://efile.fara.gov/docs/6840-Amendment-20211130-14.pdf
125,11/30/2021,"Ruder Finn, Inc.",6840,Amendment, , , ,https://efile.fara.gov/docs/6840-Amendment-20211130-15.pdf
126,11/30/2021,"Ruder Finn, Inc.",6840,Amendment, , , ,https://efile.fara.gov/docs/6840-Amendment-20211130-16.pdf
127,11/30/2021,"Ruder Finn, Inc.",6840,Amendment, , , ,https://efile.fara.gov/docs/6840-Amendment-20211130-17.pdf
128,11/30/2021,"Ruder Finn, Inc.",6840,Amendment, , , ,https://efile.fara.gov/docs/6840-Amendment-20211130-18.pdf
129,11/30/2021,"Ruder Finn, Inc.",6840,Amendment, , , ,https://efile.fara.gov/docs/6840-Amendment-20211130-19.pdf
130,7/30/2021,"Ruder Finn, Inc.",6840,Short-Form,"Stanley, Sarah", , ,https://efile.fara.gov/docs/6840-Short-Form-20210730-80.pdf
131,7/30/2021,"Ruder Finn, Inc.",6840,Short-Form,"Mason, Ryan", , ,https://efile.fara.gov/docs/6840-Short-Form-20210730-72.pdf
132,7/30/2021,"Ruder Finn, Inc.",6840,Short-Form,"Mason, Ryan", , ,https://efile.fara.gov/docs/6840-Short-Form-20210730-82.pdf
133,7/30/2021,"Ruder Finn, Inc.",6840,Short-Form,"Heekin, Stella", , ,https://efile.fara.gov/docs/6840-Short-Form-20210730-74.pdf
134,7/30/2021,"Ruder Finn, Inc.",6840,Short-Form,"Foldenauer, Lexi", , ,https://efile.fara.gov/docs/6840-Short-Form-20210730-76.pdf
135,7/30/2021,"Ruder Finn, Inc.",6840,Supplemental Statement, , , ,https://efile.fara.gov/docs/6840-Supplemental-Statement-20210730-2.pdf
136,7/30/2021,"Ruder Finn, Inc.",6840,Short-Form,"Munjal, Sonali", , ,https://efile.fara.gov/docs/6840-Short-Form-20210730-84.pdf
137,7/30/2021,"Ruder Finn, Inc.",6840,Short-Form,"Frick, Hannah", , ,https://efile.fara.gov/docs/6840-Short-Form-20210730-78.pdf
138,6/25/2021,"Ruder Finn, Inc.",6840,Short-Form,"Manella, Isabel", , ,https://efile.fara.gov/docs/6840-Short-Form-20210625-70.pdf
139,5/14/2021,"Ruder Finn, Inc.",6840,Short-Form,"Gould, Charles", , ,https://efile.fara.gov/docs/6840-Short-Form-20210514-68.pdf
140,3/8/2021,"Ruder Finn, Inc.",6840,Short-Form,"Pizarro, Pamela", , ,https://efile.fara.gov/docs/6840-Short-Form-20210308-66.pdf
141,2/11/2021,"Ruder Finn, Inc.",6840,Short-Form,"Alcaraz, Sydney", , ,https://efile.fara.gov/docs/6840-Short-Form-20210211-64.pdf
142,2/2/2021,"Ruder Finn, Inc.",6840,Short-Form,"Rabe, Brianna", , ,https://efile.fara.gov/docs/6840-Short-Form-20210202-62.pdf
143,1/29/2021,"Ruder Finn, Inc.",6840,Supplemental Statement, , , ,https://efile.fara.gov/docs/6840-Supplemental-Statement-20210129-1.pdf
144,1/28/2021,"Ruder Finn, Inc.",6840,Short-Form,"Balough, Rebecca", , ,https://efile.fara.gov/docs/6840-Short-Form-20210128-56.pdf
145,1/28/2021,"Ruder Finn, Inc.",6840,Short-Form,"Clark, Matthew", , ,https://efile.fara.gov/docs/6840-Short-Form-20210128-38.pdf
146,1/28/2021,"Ruder Finn, Inc.",6840,Short-Form,"Dilyard, Katharine", , ,https://efile.fara.gov/docs/6840-Short-Form-20210128-50.pdf
147,1/28/2021,"Ruder Finn, Inc.",6840,Short-Form,"Frangos, Constantine", , ,https://efile.fara.gov/docs/6840-Short-Form-20210128-44.pdf
148,1/28/2021,"Ruder Finn, Inc.",6840,Short-Form,"Isola, Meredith", , ,https://efile.fara.gov/docs/6840-Short-Form-20210128-42.pdf
149,1/28/2021,"Ruder Finn, Inc.",6840,Short-Form,"Marshall, Monica", , ,https://efile.fara.gov/docs/6840-Short-Form-20210128-60.pdf
150,1/28/2021,"Ruder Finn, Inc.",6840,Short-Form,"Matos, Christopher", , ,https://efile.fara.gov/docs/6840-Short-Form-20210128-52.pdf
151,1/28/2021,"Ruder Finn, Inc.",6840,Short-Form,"McCaffrey, Evan", , ,https://efile.fara.gov/docs/6840-Short-Form-20210128-48.pdf
152,1/28/2021,"Ruder Finn, Inc.",6840,Short-Form,"Nardeo, Nira", , ,https://efile.fara.gov/docs/6840-Short-Form-20210128-54.pdf
153,1/28/2021,"Ruder Finn, Inc.",6840,Short-Form,"Naylor, McKenzie", , ,https://efile.fara.gov/docs/6840-Short-Form-20210128-40.pdf
154,1/28/2021,"Ruder Finn, Inc.",6840,Short-Form,"Nolan, John", , ,https://efile.fara.gov/docs/6840-Short-Form-20210128-58.pdf
155,1/28/2021,"Ruder Finn, Inc.",6840,Short-Form,"Stout, Samantha", , ,https://efile.fara.gov/docs/6840-Short-Form-20210128-36.pdf
156,1/28/2021,"Ruder Finn, Inc.",6840,Short-Form,"Totade, Tejas", , ,https://efile.fara.gov/docs/6840-Short-Form-20210128-46.pdf
157,12/22/2020,6840,6840,Informational Materials, ,"Huawei Technologies USA, Inc.",CHINA,https://efile.fara.gov/docs/6840-Informational-Materials-20201222-1.pdf
158,12/21/2020,"Ruder Finn, Inc.",6840,Short-Form,"Caughman, Katie", , ,https://efile.fara.gov/docs/6840-Short-Form-20201221-34.pdf
159,11/13/2020,"Ruder Finn, Inc.",6840,Short-Form,"Murdock, Travis", , ,https://efile.fara.gov/docs/6840-Short-Form-20201113-32.pdf
160,11/9/2020,"Ruder Finn, Inc.",6840,Amendment, , , ,https://efile.fara.gov/docs/6840-Amendment-20201109-2.pdf
161,11/6/2020,"Ruder Finn, Inc.",6840,Amendment, , , ,https://efile.fara.gov/docs/6840-Amendment-20201106-4.pdf
162,11/6/2020,"Ruder Finn, Inc.",6840,Amendment, , , ,https://efile.fara.gov/docs/6840-Amendment-20201106-3.pdf
163,11/6/2020,"Ruder Finn, Inc.",6840,Short-Form,"Baumgaertner, Rebecca", , ,https://efile.fara.gov/docs/6840-Short-Form-20201106-30.pdf
164,11/6/2020,"Ruder Finn, Inc.",6840,Exhibit AB, ,Consulate General of The People's Republic of China in New York,CHINA,https://efile.fara.gov/docs/6840-Exhibit-AB-20201106-3.pdf
165,11/2/2020,"Ruder Finn, Inc.",6840,Short-Form,"Baumgaertner, Rebecca", , ,https://efile.fara.gov/docs/6840-Short-Form-20201102-26.pdf
166,11/2/2020,"Ruder Finn, Inc.",6840,Short-Form,"Barrett, Jenny", , ,https://efile.fara.gov/docs/6840-Short-Form-20201102-14.pdf
167,11/2/2020,"Ruder Finn, Inc.",6840,Short-Form,"Ayromlou, Maryam", , ,https://efile.fara.gov/docs/6840-Short-Form-20201102-16.pdf
168,11/2/2020,"Ruder Finn, Inc.",6840,Exhibit AB, ,"Huawei Technologies USA, Inc.",CHINA,https://efile.fara.gov/docs/6840-Exhibit-AB-20201102-2.pdf
169,11/2/2020,"Ruder Finn, Inc.",6840,Short-Form,"Yi, Guen", , ,https://efile.fara.gov/docs/6840-Short-Form-20201102-12.pdf
170,11/2/2020,"Ruder Finn, Inc.",6840,Amendment, , , ,https://efile.fara.gov/docs/6840-Amendment-20201102-1.pdf
171,11/2/2020,"Ruder Finn, Inc.",6840,Short-Form,"Savarese, Jessica", , ,https://efile.fara.gov/docs/6840-Short-Form-20201102-24.pdf
172,11/2/2020,"Ruder Finn, Inc.",6840,Short-Form,"Murdock, Travis", , ,https://efile.fara.gov/docs/6840-Short-Form-20201102-10.pdf
173,11/2/2020,"Ruder Finn, Inc.",6840,Short-Form,"Kim, Robin", , ,https://efile.fara.gov/docs/6840-Short-Form-20201102-18.pdf
174,11/2/2020,"Ruder Finn, Inc.",6840,Short-Form,"Francum, Peyton", , ,https://efile.fara.gov/docs/6840-Short-Form-20201102-22.pdf
175,11/2/2020,"Ruder Finn, Inc.",6840,Short-Form,"Dickter, Noah", , ,https://efile.fara.gov/docs/6840-Short-Form-20201102-20.pdf
176,11/2/2020,"Ruder Finn, Inc.",6840,Short-Form,"Bloomgarden, Kathy", , ,https://efile.fara.gov/docs/6840-Short-Form-20201102-8.pdf
177,6/22/2020,"Ruder Finn, Inc.",6840,Short-Form,"Rabe, Brianna", , ,https://efile.fara.gov/docs/6840-Short-Form-20200622-4.pdf
178,6/22/2020,"Ruder Finn, Inc.",6840,Short-Form,"Laird, Brian", , ,https://efile.fara.gov/docs/6840-Short-Form-20200622-2.pdf
179,6/22/2020,"Ruder Finn, Inc.",6840,Exhibit C, , , ,https://efile.fara.gov/docs/6840-Exhibit-C-20200622-1.pdf
180,6/22/2020,"Ruder Finn, Inc.",6840,Exhibit AB, ,NEOM Company,SAUDI ARABIA,https://efile.fara.gov/docs/6840-Exhibit-AB-20200622-1.pdf
181,6/22/2020,"Ruder Finn, Inc.",6840,Short-Form,"Bloomgarden, Kathy", , ,https://efile.fara.gov/docs/6840-Short-Form-20200622-6.pdf
182,6/22/2020,"Ruder Finn, Inc.",6840,Registration Statement, , , ,https://efile.fara.gov/docs/6840-Registration-Statement-20200622-1.pdf
