title,author,date_pub,full_text
Carrying Forward the Shanghai Spirit and Deepening Solidarity and Collaboration for a Stronger Community with a Shared Future – Remarks by Xi Jinping at the 20th Meeting of the Council of Heads of State of the Shanghai Cooperation Organization,Xi Jinping ,"Nov 10, 2020","Second, we need to safeguard security and stability and build a community of security for us all. Security and stability are the number one precondition for a country’s development, and thus concern the core interests of all countries. We need to act on the vision of common, comprehensive, cooperative and sustainable security, address all forms of threats and challenges effectively, and foster a sound security environment in our region. "
Carrying Forward the Shanghai Spirit and Deepening Solidarity and Collaboration for a Stronger Community with a Shared Future – Remarks by Xi Jinping at the 20th Meeting of the Council of Heads of State of the Shanghai Cooperation Organization,Xi Jinping ,"Nov 10, 2020","We need to firmly support countries concerned in their law-based efforts to steadily advance major domestic political agenda, firmly support countries in safeguarding political security and social stability, and firmly oppose interference by external forces in the domestic affairs of SCO members under whatever pretexts. We need to deepen solidarity and mutual trust, and resolve disputes and differences through dialogue and consultation, in order to cement the political foundation for SCO development. It is important that we forestall terrorist, separatist and extremist attempts to exploit the pandemic for disruption, curb the proliferation of drugs, crack down on Internet-based propagation of extremist ideology, and deepen SCO members’ law-enforcement cooperation. It is important that we uphold bio-security, data security and outer-space security, and engage in active communication and dialogue in this field. China has launched the Global Initiative on Data Security, which aims to galvanize efforts to shape a peaceful, secure, open, cooperative and orderly cyberspace. We welcome the participation of all parties in this Initiative. The situation in Afghanistan involves the security and stability in the wider region. We need to make good use of the SCO-Afghanistan Contact Group to help the country realize peace and reconstruction. "
Carrying Forward the Shanghai Spirit and Deepening Solidarity and Collaboration for a Stronger Community with a Shared Future – Remarks by Xi Jinping at the 20th Meeting of the Council of Heads of State of the Shanghai Cooperation Organization,Xi Jinping ,"Nov 10, 2020","Third, we need to deepen practical cooperation and build a community of development for us all. True development is development for all and good development is sustainable. We need to be guided by the vision of innovative, coordinated, green, open and shared development and open up more opportunities for practical cooperation to facilitate economic recovery and betterment of people’s lives.  "
Carrying Forward the Shanghai Spirit and Deepening Solidarity and Collaboration for a Stronger Community with a Shared Future – Remarks by Xi Jinping at the 20th Meeting of the Council of Heads of State of the Shanghai Cooperation Organization,Xi Jinping ,"Nov 10, 2020","We need to forge greater synergy of the Belt and Road Initiative with national development strategies as well as region-wide cooperation initiatives such as the Eurasian Economic Union. We need to enhance connectivity and further integrate our industrial, supply and value chains for unimpeded economic circulation in the region. We need to facilitate reopening of economic activities through the “fast track” that steps up mobility of people and the “green lane” that quickens the flow of goods. We need to foster an open, fair and nondiscriminatory business environment for each other’s companies, and expand mutual investment among us. We need to seize opportunities from the new round of technological revolution and industrial transformation to step up cooperation in digital economy, e-commerce, artificial intelligence and smart cities. Next year, China will host a China-SCO forum on the digital economy industry in Chongqing, which will provide a platform for innovation cooperation among parties. We need to put the people first, and implement more joint projects that deliver real benefits to them. China supports setting up an SCO joint working group on poverty reduction and stands ready to share our good experience with other parties.  "
Carrying Forward the Shanghai Spirit and Deepening Solidarity and Collaboration for a Stronger Community with a Shared Future – Remarks by Xi Jinping at the 20th Meeting of the Council of Heads of State of the Shanghai Cooperation Organization,Xi Jinping ,"Nov 10, 2020","Fourth, we need to nourish people-to-people amity and build a community of cultural exchanges for us all. Each civilization is distinct and none is superior to others. We need to promote mutual learning between our civilizations and enhance good-neighborliness and friendship between our countries. This allows us to enhance public support for the SCO’s long-term development. "
Carrying Forward the Shanghai Spirit and Deepening Solidarity and Collaboration for a Stronger Community with a Shared Future – Remarks by Xi Jinping at the 20th Meeting of the Council of Heads of State of the Shanghai Cooperation Organization,Xi Jinping ,"Nov 10, 2020","We need to use various forms of communication to make the SCO’s achievements more widely known and win stronger public support for the SCO vision of cooperation. We may support the Organization’s exchanges and cooperation in education, culture, sports, media and women’s welfare, and institute an all-round, multi-channel structure of deeper cooperation. China will host an SCO non-governmental friendship forum next year, and will continue to hold SCO Youth Campus events, to which 600 young people will be invited in the coming three years, to deepen mutual understanding among the younger generation and bring them closer together.  "
Carrying Forward the Shanghai Spirit and Deepening Solidarity and Collaboration for a Stronger Community with a Shared Future – Remarks by Xi Jinping at the 20th Meeting of the Council of Heads of State of the Shanghai Cooperation Organization,Xi Jinping ,"Nov 10, 2020","We need to better coordinate the SCO’s cooperation agenda with the necessity for a long-term fight against COVID-19. We need to employ new working methods and flexible cooperation forms and keep the relevant mechanisms running effectively. The SCO Secretariat and the Regional Anti-Terrorist Structure need to play their coordinating role, and SCO members need to give stronger support to the work of the Permanent Bodies. "
Carrying Forward the Shanghai Spirit and Deepening Solidarity and Collaboration for a Stronger Community with a Shared Future – Remarks by Xi Jinping at the 20th Meeting of the Council of Heads of State of the Shanghai Cooperation Organization,Xi Jinping ,"Nov 10, 2020","Colleagues, "
Carrying Forward the Shanghai Spirit and Deepening Solidarity and Collaboration for a Stronger Community with a Shared Future – Remarks by Xi Jinping at the 20th Meeting of the Council of Heads of State of the Shanghai Cooperation Organization,Xi Jinping ,"Nov 10, 2020","Seventy-five years ago, our forefathers won the world anti-fascist war and founded the United Nations (UN), thus writing a new chapter in human history. Drawing lessons from the past, we need to act to champion multilateralism, improve global governance and uphold the international order. We need to follow the principle of extensive consultation, joint contribution and shared benefits, and build a world where global affairs are discussed by all, the governance system built by all, and development fruits shared by all. "
Carrying Forward the Shanghai Spirit and Deepening Solidarity and Collaboration for a Stronger Community with a Shared Future – Remarks by Xi Jinping at the 20th Meeting of the Council of Heads of State of the Shanghai Cooperation Organization,Xi Jinping ,"Nov 10, 2020","The SCO needs to expand its network of partnerships and conduct extensive cooperation with observers, dialogue partners, the UN and other international organizations. It should play a more active role in international and regional affairs, and stay committed to building an open, inclusive, clean and beautiful world that enjoys lasting peace, universal security and common prosperity. "
Carrying Forward the Shanghai Spirit and Deepening Solidarity and Collaboration for a Stronger Community with a Shared Future – Remarks by Xi Jinping at the 20th Meeting of the Council of Heads of State of the Shanghai Cooperation Organization,Xi Jinping ,"Nov 10, 2020","Colleagues,  "
Carrying Forward the Shanghai Spirit and Deepening Solidarity and Collaboration for a Stronger Community with a Shared Future – Remarks by Xi Jinping at the 20th Meeting of the Council of Heads of State of the Shanghai Cooperation Organization,Xi Jinping ,"Nov 10, 2020","China cannot be separated from the world in achieving development, and the world also needs China for prosperity. Now, China is speeding up efforts to foster a new development paradigm with domestic circulation as the mainstay and domestic and international circulations reinforcing each other. New mechanisms are being put in place to build an open economy of a higher standard. China will remain committed to a win-win strategy of opening-up. It will seek development impetus from the world and contribute more to the world with its own development. We welcome all parties to capitalize on China’s development opportunity and make active endeavors to deepen cooperation with China. "
Carrying Forward the Shanghai Spirit and Deepening Solidarity and Collaboration for a Stronger Community with a Shared Future – Remarks by Xi Jinping at the 20th Meeting of the Council of Heads of State of the Shanghai Cooperation Organization,Xi Jinping ,"Nov 10, 2020","China congratulates President Emomali Rahmon on taking over the chairmanship of the SCO Council of Heads of State, and will give full support to Tajikistan during its presidency. Next year, we will celebrate the 20th anniversary of the SCO. Let us hold high the banner of the Shanghai Spirit, forge ahead with strong cooperation, strive for the better development of our Organization, and build an even closer community with a shared future for us all. "
Carrying Forward the Shanghai Spirit and Deepening Solidarity and Collaboration for a Stronger Community with a Shared Future – Remarks by Xi Jinping at the 20th Meeting of the Council of Heads of State of the Shanghai Cooperation Organization,Xi Jinping ,"Nov 10, 2020",Thank you. 
