title,author,date_pub,full_text
Acting in Solidarity for a Shared Future – Remarks by Xi Jinping at Session I of the 16th G20 Leaders’ Summit,Xi Jinping ,"Oct 30, 2021","Infrastructure development plays an important role in propelling economic growth. China has made unremitting efforts in this regard through Belt and Road cooperation and other initiatives. China is prepared to work with all sides to uphold the principle of extensive consultation, joint contribution and shared benefits, stay committed to the vision of open, green and clean cooperation, and pursue the goal of high-standard, people-centered and sustainable development, so as to deliver more fruitful outcomes from high-quality Belt and Road cooperation. "
Acting in Solidarity for a Shared Future – Remarks by Xi Jinping at Session I of the 16th G20 Leaders’ Summit,Xi Jinping ,"Oct 30, 2021","Third, embrace inclusiveness to achieve common development. The pandemic has brought multiple crises to the world, developing countries in particular. The number of people living in hunger has reached around 800 million. Implementation of the 2030 Agenda for Sustainable Development is facing unprecedented challenges. In this context, we must take a people-centered approach and make global development more equitable, effective and inclusive, so that no country will be left behind. "
Acting in Solidarity for a Shared Future – Remarks by Xi Jinping at Session I of the 16th G20 Leaders’ Summit,Xi Jinping ,"Oct 30, 2021","The G20 should prioritize development in macro policy coordination, ensure sound implementation of the Action Plan on the 2030 Agenda for Sustainable Development, move forward with the Initiative on Supporting Industrialization in Africa and Least Developed Countries, and promote synergy among the existing mechanisms for development cooperation. Advanced economies should fulfill their pledges on official development assistance (ODA) and provide more resources for developing countries. "
Acting in Solidarity for a Shared Future – Remarks by Xi Jinping at Session I of the 16th G20 Leaders’ Summit,Xi Jinping ,"Oct 30, 2021","Not long ago, I proposed a Global Development Initiative at the United Nations and called on the international community to strengthen cooperation in areas of poverty alleviation, food security, COVID-19 response and vaccines, development financing, climate change and green development, industrialization, digital economy and connectivity, so as to accelerate implementation of the 2030 Agenda for Sustainable Development and achieve more robust, greener and more balanced global development. This initiative is highly compatible with the G20’s goal and priority of promoting global development. We welcome the active participation of more countries in the initiative. "
Acting in Solidarity for a Shared Future – Remarks by Xi Jinping at Session I of the 16th G20 Leaders’ Summit,Xi Jinping ,"Oct 30, 2021","Fourth, pursue innovation to tap growth potential. Innovation is a decisive factor in promoting economic and social development and in addressing the common challenges to humanity. The G20 should join forces to unleash the potential for innovation-driven growth and draw up rules based on extensive participation and broad-based consensus to foster an enabling environment for innovation-driven development. Forming exclusive blocs or even drawing ideological lines will only cause division and create more obstacles, which will do no good but only harm to scientific and technological innovation. "
Acting in Solidarity for a Shared Future – Remarks by Xi Jinping at Session I of the 16th G20 Leaders’ Summit,Xi Jinping ,"Oct 30, 2021","Digital economy is an important frontier of scientific and technological innovation. The G20 should shoulder responsibilities in the digital era, quicken the development of new types of digital infrastructure, promote deeper integration of digital technologies with the real economy, and help developing countries eliminate the digital divide. China has put forth the Global Initiative on Data Security. We may discuss and develop international rules for digital governance that reflect the will and respect the interests of all sides, and actively foster an open, fair, just and non-discriminatory environment for digital development. China attaches great importance to international cooperation on digital economy, and has decided to apply to join the Digital Economy Partnership Agreement. China stands ready to work with all parties for the healthy and orderly development of digital economy. "
Acting in Solidarity for a Shared Future – Remarks by Xi Jinping at Session I of the 16th G20 Leaders’ Summit,Xi Jinping ,"Oct 30, 2021","Fifth, promote harmonious co-existence to achieve green and sustainable development. The G20 needs to uphold the principle of common but differentiated responsibilities, push for the full implementation of the Paris Agreement on climate change, and support a successful COP26 to the United Nations Framework Convention on Climate Change and COP15 to the Convention on Biological Diversity. Developed countries need to lead by example on emissions reduction, fully accommodate the special difficulties and concerns of developing countries, deliver on their commitments of climate financing, and provide technology, capacity-building and other support for developing countries. This is critically important for the success of the upcoming COP26. "
Acting in Solidarity for a Shared Future – Remarks by Xi Jinping at Session I of the 16th G20 Leaders’ Summit,Xi Jinping ,"Oct 30, 2021","China has all along undertaken due international responsibilities commensurate with its national conditions. We have actively advanced the green transition of our economy, and raised the ambition of our climate actions on our own initiative. In the past ten years, China phased out 120 million kilowatts of installed coal-fired power generation capacity. The construction of the first batch of wind and photovoltaic power stations with a total installed capacity of about 100 million kilowatts was launched in an orderly fashion. China will strive to peak its CO2 emissions before 2030 and achieve carbon neutrality before 2060. We will honor our words with actions and work with all countries to pursue a path of green, low-carbon and sustainable development.  "
Acting in Solidarity for a Shared Future – Remarks by Xi Jinping at Session I of the 16th G20 Leaders’ Summit,Xi Jinping ,"Oct 30, 2021","Colleagues,  "
Acting in Solidarity for a Shared Future – Remarks by Xi Jinping at Session I of the 16th G20 Leaders’ Summit,Xi Jinping ,"Oct 30, 2021","As an ancient Chinese philosopher observed, “He who has credibility connects the world.” In other words, credibility is the foundation for interactions with the world. China will stay committed to the fundamental state policy of opening-up to unleash the potential of its huge market and enormous domestic demand. We will promote institutional opening-up that covers rules, regulations, management and standards, and step up protection of intellectual property rights. We will continue to foster a business environment that is based on market principles, governed by law and up to international standards, and ensure a fair and equitable market order for both domestic and foreign companies. I am convinced that China’s development will bring even greater and new opportunities to the world and inject still more new impetus to the world economy.  "
Acting in Solidarity for a Shared Future – Remarks by Xi Jinping at Session I of the 16th G20 Leaders’ Summit,Xi Jinping ,"Oct 30, 2021","As the saying goes, Rome wasn’t built in a day. To build a community with a shared future for mankind requires persisting efforts of all countries. Although the journey ahead may be long and arduous, with sustained actions, we will eventually reach our destination and embrace a brighter future. Let us work together to dispel the dark clouds of the pandemic at an early date and jointly build an ever better future for all of us!  "
Acting in Solidarity for a Shared Future – Remarks by Xi Jinping at Session I of the 16th G20 Leaders’ Summit,Xi Jinping ,"Oct 30, 2021",Thank you. 
